accepting,acceptng
softening,sofnng
softens,sofns
soiling,soilng
soldier,soldir
soldiers,soldirs
solve,solv
solves,solvs
somebody,sombody
someday,somday
somehow,somhow
sometime,somtime
somewhat,somwat
somewhere,somwher
sophisticated,sofisticated
sorting,sortng
soul,sol
souls,sols
sovereignty,sovrenty
sparking,sparkng
speaker,speakr
speakers,speakrs
specifically,specificly
specifying,specifyng
spectacular,spectaculr
spectrum,spectrm
speeding,speedng
spell,spel
spelling,spelng
spells,spels
sphere,sfere
spheres,sferes
spill,spil
spilling,spilng
spills,spils
spiritual,spiritul
sponsor,sponsr
sponsoring,sponsrng
sponsors,sponsrs
spooning,spoonng
spraying,sprayng
spread,spred
spreading,spredng
spreads,spreds
springing,springng
sprinkle,sprinkl
spying,spyng
squeeze,squeze
squeezes,squezes
stack,stak
stacking,stakng
stacks,staks
stage,staje
stages,stajes
standard,standrd
standards,standrds
standings,standngs
starter,startr
starters,startrs
statement,statemnt
statements,statemnts
stationing,stationng
statistical,statisticl
statue,statu
statues,status
steadily,stedily
steady,stedy
steadying,stedying
steak,stek
steaks,steks
stealing,stealng
steaming,steamng
steering,steerng
stick,stik
sticking,stikng
sticks,stiks
stiff,stif
stomach,stomac
stomachs,stomacs
storage,storaj
storming,stormng
straight,strait
straighten,straitn
straightening,straitnng
straightens,straitns
straights,straits
straining,strainng
strange,stranje
stranger,stranjer
strangers,stranjers
strategic,stratejic
strategy,stratejy
streaking,streakng
streaming,streamng
strengthen,strengthn
strengthening,strengthnng
strengthens,strengthns
stressing,stresng
stretch,strech
stretching,strechng
stringing,stringng
structural,structrl
structure,structur
structures,structurs
struggle,strugl
struggles,strugls
stuff,stuf
stuffing,stufng
stuffs,stufs
stumble,stumbl
stumbles,stumbls
style,styl
styles,styls
substance,substnce
substances,substnces
substantially,substantialy
subtle,sutl
suburban,suburbn
succeeding,succeedng
successful,succesful
successfully,succesfuly
suck,suk
sucking,sukng
sucks,suks
sudden,sudn
suddenly,sudnly
sue,su
suffer,sufr
suffering,sufrng
sufferings,sufrngs
suffers,sufrs
sufficient,suficient
sugar,sugr
sugars,sugrs
suggest,sujest
suggesting,sujestng
suggestion,sujestion
suggestions,sujestions
suggests,sujests
suitable,suitbl
suiting,suitng
summary,sumry
summit,sumit
summits,sumits
sunlight,sunlyt
superior,superir
superiors,superirs
supplier,suplyr
suppliers,suplyrs
supply,suply
supplying,suplyng
supporter,suportr
supporters,suportrs
supportive,suportiv
suppose,supose
supposed,suposed
supposedly,suposedly
supposes,suposes
surgeon,surjn
surgeons,surjns
surgery,surjry
surround,suround
surrounding,suroundng
surroundings,suroundngs
surrounds,surounds
surveillance,surveilance
surveying,surveyng
suspecting,suspectng
suspending,suspendng
suspicious,suspicius
sustainable,sustainbl
sustaining,sustainng
swallow,swalo
swallowing,swaloing
swallows,swalos
swear,swer
swearing,swerng
swears,swers
sweat,swet
sweater,swetr
sweaters,swetrs
sweating,swetng
sweats,swets
sweeping,sweepng
swell,swel
swelling,swelng
swells,swels
swimming,swimng
swinging,swingng
switch,swich
switching,swichng
sword,sord
swords,sords
symbol,symbl
symbols,symbls
symptom,symtm
symptoms,symtms
tackle,takl
tackles,takls
tailing,tailng
talented,talentd
tall,tal
targeting,targetng
taxpayer,taxpayr
taxpayers,taxpayrs
tea,te
teachings,teachngs
teammates,teamates
tear,ter
tearing,terng
tears,ters
teas,tes
teaspoon,tespoon
teaspoons,tespoons
technical,tecnicl
technician,tecnician
technicians,tecnicians
technique,tecniqe
techniques,tecniqes
technological,tecnlojicl
technology,tecnolojy
teenage,teenaje
teenager,teenajer
teenagers,teenajers
telephone,telefone
telephones,telefones
temperature,tempratur
temperatures,tempraturs
temple,templ
temples,templs
temporary,tempry
tendency,tendncy
tender,tendr
tenders,tendrs
tending,tendng
tennis,tenis
terrain,terain
terrible,teribl
terribly,teribly
terrific,terific
territory,teritry
terror,terr
terrorism,terrism
terrorist,terrist
terrorists,terrists
terrors,terrs
testifying,testifyng
testimony,testmny
texture,textur
textures,texturs
thanksgiving,thanksgivng
theater,theatr
theaters,theatrs
theological,theolojicl
theology,theolojy
theoretical,theoreticl
thereby,therby
therefore,therfor
thick,thik
thigh,thy
thighs,thys
thoroughly,thoroly
thread,thred
threading,thredng
threads,threds
threat,thret
threaten,thretn
threatening,thretnng
threatens,thretns
threats,threts
throughout,thruout
thumb,thum
thumbing,thumng
thumbs,thums
ticket,tiket
tickets,tikets
tight,tyt
tighten,tytn
tightening,tytnng
tightens,tytns
tightly,tytly
tights,tyts
till,til
tilling,tilng
timber,timbr
timbers,timbrs
tissue,tissu
tissues,tissus
tobacco,tobaco
tolerance,tolrnce
tolerances,tolrnces
tolerate,tolrate
tolerates,tolrates
toll,tol
tolling,tolng
tolls,tols
tomorrow,tomoro
tomorrows,tomoros
tongue,tong
tongues,tongs
tonight,tonyt
tooling,toolng
tossing,tosng
totally,totaly
touch,tuch
touching,tuchng
tough,tuf
touring,tourng
tournament,tournmnt
tournaments,tournmnts
towel,towl
towels,towls
tower,towr
towering,towrng
towers,towrs
toying,toyng
track,trak
tracking,trakng
tracks,traks
traditional,traditionl
traditionally,traditionly
traffic,trafic
tragedy,trajedy
tragic,trajic
trailer,trailr
trailers,trailrs
trailing,trailng
trainer,trainr
trainers,trainrs
transfer,transfr
transfers,transfrs
transformation,transfrmation
transformations,transfrmations
transforming,transformng
transportation,transprtation
transporting,transportng
travel,travl
traveler,travlr
travelers,travlrs
traveling,travlng
travels,travls
treasure,tresur
treasures,tresurs
treating,treatng
tremendous,tremendus
trick,trik
tricks,triks
trigger,trigr
triggering,trigrng
triggers,trigrs
triumph,triumf
triumphs,triumfs
trooping,troopng
tropical,tropicl
trouble,trubl
troubled,trubld
troubles,trubls
truck,truk
trucking,trukng
trucks,truks
trusting,trustng
tuck,tuk
tucking,tukng
tucks,tuks
tunnel,tunl
tunnels,tunls
turkey,turky
turkeys,turkis
twelve,twelv
twisting,twistng
typical,typicl
typically,typicly
ultimate,ultmat
ultimately,ultmatly
uncertain,uncertn
uncertainty,uncertnty
uncle,uncl
uncles,uncls
uncomfortable,uncomfrtbl
uncover,uncovr
uncovering,uncovrng
undergo,undrgo
undergoing,undrgoing
undergraduate,undrgraduat
undergraduates,undrgraduats
underlying,undrlyng
undermine,undrmine
undermines,undrmines
understandings,undrstandngs
undertake,undrtake
undertakes,undrtakes
unemployment,unemploymnt
unexpected,unexpectd
unfolding,unfoldng
unfortunately,unfortunatly
unique,uniqe
universal,universl
universals,universls
unknown,unown
unknowns,unowns
unprecedented,unprecedentd
unusual,unusul
upper,upr
urban,urbn
urge,urj
urges,urjs
usual,usul
vacationing,vacationng
vaccine,vaccin
vaccines,vaccins
valley,vally
valleys,vallis
valuable,valubl
valuables,valubls
vanishing,vanishng
variable,varibl
variables,varibls
various,varius
vegetable,vejtbl
vegetables,vejtbls
vehicle,vehicl
vehicles,vehicls
vendor,vendr
vendors,vendrs
venture,ventur
ventures,venturs
verbal,verbl
vertical,verticl
vessel,vesl
vessels,vesls
veteran,vetran
veterans,vetrans
victim,victm
victims,victms
victory,victry
viewer,vewr
viewers,vewrs
village,vilaj
villages,vilajs
virtual,virtul
virtually,virtuly
virtue,virtu
virtues,virtus
visible,visbl
visiting,visitng
visitor,visitr
visitors,visitrs
visual,visul
vitamin,vitmn
vitamins,vitmns
voluntary,voluntry
volunteering,volunteerng
vulnerable,vulnrbl
wage,waje
wages,wajes
wagon,wagn
wagons,wagns
wander,wandr
wandering,wandrng
wanders,wandrs
warming,warmng
warning,warnng
warnings,warnngs
warrior,warir
warriors,warirs
washing,washng
weaken,weakn
weakening,weaknng
weakens,weakns
wealth,welth
wealthy,welthy
weapon,wepn
weapons,wepns
weather,wethr
weathering,wethrng
weathers,wethrs
weave,weve
weaves,weves
wedding,wedng
weddings,wedngs
weeding,weedng
weigh,wei
weighing,weiing
weighs,weis
weight,weit
weighting,weitng
weights,weits
welcome,welcm
welcomes,welcms
western,westrn
westerns,westrns
whale,wale
whales,wales
wheat,weat
wheats,weats
wheel,weel
wheelchair,weelchair
wheeling,weelng
wheels,weels
whenever,wenevr
whereas,wheras
wherever,wherevr
whip,wip
whips,wips
whisper,wispr
whispering,wisprng
whispers,wisprs
whoever,hoevr
whom,hom
widespread,widespred
widow,wido
widows,widos
wilderness,wildrness
willingness,wilngness
winding,windng
winging,wingng
winner,winr
winners,winrs
winter,wintr
wintering,wintrng
winters,wintrs
wisdom,wisdm
wishing,wishng
withdrawal,withdrawl
withdrawals,withdrawls
withdrawing,withdrawng
witnessing,witnesng
wonderful,wondrful
wooden,woodn
workings,workngs
worried,worrid
worthing,worthng
wounding,woundng
wrap,rap
wraps,raps
wrist,rist
wrists,rists
writer,riter
writers,riters
writing,riting
writings,ritings
written,ritn
yell,yel
yelling,yelng
yellow,yelo
yellowing,yeloing
yellows,yelos
yells,yels
yesterday,yestrday
yesterdays,yestrdays
yielding,yieldng
youngster,yungstr
youngsters,yungstrs
yourself,yrself
youth,yuth
youths,yuths
aren't,arnt
could've,cud'v
could've,cud'v
couldn't,cudnt
daren't,darent
didn't,didnt
doesn't,dosnt
don'ts,donts
hadn't,hadnt
hasn't,hasnt
haven't,havnt
he'll,he'l
i'll,i'l
i've,i'v
it'll,it'l
mightn't,mytnt
must've,must'v
mustn't,musnt
needn't,neednt
o'clock,oclok
oughtn't,otnt
shan't,shant
she'll,she'l
should've,shud'v
shouldn't,shudnt
something's,somthing's
that'll,that'l
there'd,ther'd
there'll,ther'l
there're,ther'r
there's,ther's
there've,ther'v
they'll,they'l
they're,they'r
they've,they'v
this'll,this'l
three's,thre's
we'll,we'l
we're,we'r
we've,we'v
weren't,wernt
what'd,wat'd
what'll,wat'l
what're,wat'r
what's,wat's
what's,wat's
what've,wat'v
whatever's,watevr's
when's,wen's
where'd,wher'd
where's,wher's
who'd,ho'd
who'll,ho'l
who's,ho's
won't,wont
would've,wud'v
wouldn't,wudnt
you'd,u'd
you'll,u'l
you're,u'r
you've,u'v
reminded,remindd
reminder,remindr
reminding,remindng
process,proces
processes,proceses
computer,computr
computing,computng
